,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,actor1_con,actor2_con,actor3_con,director_con,genre__con
63,23rd March 1931: Shaheed,2002.0,188.0,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,4.8,5.2,5.3,4.8,6.8
64,24 Ghante,1998.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal,6.2,5.7,6.2,5.9,5.9
67,26th January,1956.0,131.11078355314197,Drama,6.2,2029.1238422863191,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,5.9,6.1,6.3,6.8,6.3
68,26th July at Barista,2008.0,131.11078355314197,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,3.1,3.1,3.1,4.5,6.3
69,27 Down,1974.0,115.0,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,6.2,6.1,6.6,6.9,6.3
70,3 AM: A Paranormal Experience,2014.0,103.0,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,5.0,4.9,5.0,5.0,4.7
71,3 Bachelors,2012.0,114.0,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,4.7,3.8,3.3,4.7,5.8
72,3 Days 4 Nights in Bihar,2020.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz,5.2,5.4,7.1,5.3,5.9
73,3 Deewarein,2003.0,115.0,"Crime, Drama",7.8,2322.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,6.0,5.1,5.5,6.9,6.2
74,3 Dev,2019.0,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,6.9,6.9,6.0,6.0,5.9
75,3 Idiots,2009.0,170.0,"Comedy, Drama",8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,6.8,6.3,8.4,8.1,5.9
76,3 Nights 4 Days,2009.0,131.11078355314197,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,5.2,5.4,5.2,4.2,5.9
77,3 Shyaane,2020.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee,5.4,5.4,4.9,6.2,5.9
78,3 Storeys,2018.0,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,6.9,6.9,6.0,6.9,6.3
79,3.0 Megapixel,2015.0,99.0,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,5.4,4.3,4.3,4.3,5.9
80,30 Days,2004.0,131.11078355314197,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,5.6,5.4,5.5,5.3,5.4
81,30 Minutes,2016.0,131.11078355314197,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,5.4,5.4,4.8,4.8,5.9
82,31st October,2015.0,109.0,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,5.8,5.8,6.4,5.8,6.5
83,340,2009.0,131.11078355314197,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,5.4,4.6,4.2,4.6,5.9
84,36 China Town,2006.0,140.0,"Comedy, Mystery, Thriller",5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,5.8,6.1,5.7,5.8,5.7
85,36 Chowringhee Lane,1981.0,122.0,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,7.5,7.5,6.4,6.7,5.9
86,36 Ghante,1974.0,131.11078355314197,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,5.7,6.4,6.4,6.7,5.7
87,376 D,2020.0,128.0,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,5.7,5.7,5.7,5.7,5.7
88,377 AbNormal,2019.0,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,5.9,6.4,6.4,6.4,6.3
89,3D Saamri,1985.0,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,5.7,5.7,6.1,5.4,5.4
90,3G: A Killer Connection,2013.0,125.0,"Horror, Sci-Fi, Thriller",3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,4.2,4.5,5.6,4.2,3.6
91,3rd EYE,2019.0,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,6.3,5.2,6.3,6.3,5.4
92,3rd November,2016.0,131.11078355314197,Horror,6.2,2029.1238422863191,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan,6.2,6.2,6.2,6.2,5.4
94,404: Error Not Found,2011.0,121.0,"Drama, Mystery, Thriller",7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,7.3,7.3,6.8,5.4,5.8
95,417 Miles,2016.0,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,4.8,4.8,4.8,4.8,6.3
96,42 Kms.,2009.0,131.11078355314197,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani,3.9,5.0,5.4,3.9,6.4
97,498A-The Wedding Gift,2012.0,113.0,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,7.8,6.4,5.8,7.8,6.4
98,4pm on the Court,2011.0,115.0,Sport,6.2,2029.1238422863191,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma,6.2,6.0,6.2,6.2,6.0
99,5 Ghantey Mien 5 Crore,2012.0,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,5.6,4.4,6.9,5.6,5.9
100,5 Rifles,1974.0,134.0,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,6.4,6.2,6.3,6.2,5.4
101,5 Rifles,2001.0,131.11078355314197,Action,6.2,2029.1238422863191,Hemant Birje,Anu Kashyap,Raza Murad,Paintal,6.2,5.8,6.0,5.8,5.7
103,50 Lakh,2007.0,131.11078355314197,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan,7.3,6.5,6.4,6.6,5.6
104,500 Ka Note,2002.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan,5.7,5.6,5.3,5.9,5.9
105,5ters: Castle of Dark Master,2011.0,110.0,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan,6.0,4.6,4.6,4.6,5.7
109,6-5=2,2014.0,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,4.8,4.2,4.2,4.2,5.4
110,68 Pages,2007.0,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,6.2,6.2,6.0,6.6,6.3
113,7 1/2 Phere: More Than a Wedding,2005.0,136.0,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,5.5,5.9,6.7,4.0,5.9
114,7 Bijliyaan,1988.0,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,5.2,5.5,6.0,5.0,5.7
115,7 Days,1995.0,131.11078355314197,"Action, Drama",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill,3.4,4.8,4.6,5.6,5.6
116,7 Hours to Go,2016.0,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,6.0,5.7,5.8,5.8,5.7
117,7 Islands and a Metro,2006.0,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,6.2,7.0,6.1,6.2,7.0
118,7 Khoon Maaf,2011.0,137.0,"Drama, Mystery, Thriller",6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,5.9,6.1,5.9,7.1,5.8
119,7 Saal Baad,1987.0,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,5.6,5.7,5.5,5.2,5.4
120,706,2019.0,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,6.5,5.2,5.2,5.3,5.9
121,72 Hours: Martyr Who Never Died,2019.0,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,5.6,5.3,5.4,5.9,6.7
123,7th Villa,2018.0,125.0,Horror,6.2,2029.1238422863191,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit,6.2,6.2,6.2,6.2,5.4
124,8 PM: A Murder Mystery,2008.0,131.11078355314197,Mystery,6.2,2029.1238422863191,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika,5.3,6.2,6.2,6.2,6.0
125,8 x 10 Tasveer,2009.0,122.0,"Action, Fantasy, Mystery",5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,5.5,5.6,5.2,6.9,5.4
126,8119 Miles,2021.0,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,6.6,6.6,6.6,6.6,6.7
127,'83,2021.0,150.0,"Biography, Drama, History",6.2,2029.1238422863191,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,5.7,6.1,6.5,6.1,6.8
128,88 Antop Hill,2003.0,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,6.0,5.5,4.7,6.2,5.9
129,9 O' Clock,2017.0,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,5.3,5.3,5.3,5.8,5.7
131,9 to 12,2011.0,115.0,"Drama, Musical, Thriller",6.2,2029.1238422863191,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.,6.2,6.2,6.3,6.2,4.8
132,99,2009.0,135.0,"Comedy, Crime, Drama",7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,6.6,5.2,5.9,6.6,5.7
133,99 Songs,2019.0,128.0,"Musical, Romance",7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,7.4,7.4,7.4,7.4,6.2
134,99.9 FM,2005.0,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,4.3,5.5,4.8,4.8,6.2
137,A Billion Colour Story,2016.0,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,8.1,8.1,8.1,8.1,6.3
139,A Call from the Past,2016.0,76.0,"Drama, Fantasy, Mystery",6.2,2029.1238422863191,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava,6.2,6.4,6.2,6.2,6.4
140,A Cold Plan,2021.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj,6.2,6.2,6.2,6.2,5.9
141,A Daughter's Dream,2014.0,131.11078355314197,"Drama, Family, Sport",6.2,2029.1238422863191,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain,6.0,4.8,6.2,6.2,7.1
142,A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,6.3,6.3,6.3,6.3,6.3
143,A Death in the Gunj,2016.0,110.0,"Drama, Thriller",7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,7.1,6.1,5.6,7.5,6.0
146,A Film by Aravind,2005.0,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,5.0,6.5,6.8,6.8,5.1
147,A Flat,2010.0,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,5.3,4.2,4.1,3.6,4.5
148,A Flying Jatt,2016.0,151.0,"Action, Adventure, Comedy",3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,3.8,4.4,3.0,4.1,5.6
149,A Game Called Relationship,2020.0,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,6.3,6.3,6.3,5.4,5.8
150,A Gentleman,2017.0,145.0,"Action, Comedy",6.2,5227.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,6.6,5.6,5.5,6.6,5.4
151,A Gift of Love: Sifar,2019.0,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,8.0,6.1,6.0,8.0,5.9
153,A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,7.3,7.3,7.3,7.3,6.3
155,A Mistake (Ek Galti),2021.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil,5.7,6.5,6.2,6.2,5.9
156,A New Love Ishtory,2013.0,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,6.0,6.0,4.8,6.3,5.9
157,A Night in Calcutta,1970.0,131.11078355314197,Drama,6.2,2029.1238422863191,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev,6.1,6.4,6.5,6.2,6.3
160,A Scandall,2016.0,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,3.1,3.1,5.6,4.0,5.9
161,A Separate Sky,2021.0,131.11078355314197,Drama,6.2,2029.1238422863191,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,6.2,6.2,6.2,6.2,6.3
165,A Story of a Call Girl,2000.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri,6.2,5.9,6.2,5.6,5.9
166,A Strange Love Story,2011.0,131.11078355314197,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi,3.8,3.8,4.5,3.8,6.3
167,A Sublime Love Story: Barsaat,2005.0,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,4.8,4.6,5.3,4.1,5.9
169,A Thin Line,2019.0,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,7.9,5.1,7.3,7.3,6.3
170,A Thursday,2021.0,131.11078355314197,"Drama, Thriller",6.2,2029.1238422863191,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,5.1,6.1,4.7,6.2,6.0
173,A Wednesday,2008.0,104.0,"Action, Crime, Drama",8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,5.5,6.3,6.2,7.5,5.7
175,Aa Ab Laut Chalen,1999.0,177.0,"Musical, Romance, Drama",5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,6.4,6.1,6.0,5.5,6.2
176,AA BB KK,2018.0,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,8.0,8.0,5.7,8.0,6.3
177,Aa Bhi Ja O Piya,2021.0,140.0,"Family, Romance",6.2,2029.1238422863191,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,6.2,6.2,4.7,6.2,6.3
178,Aa Dekhen Zara,2009.0,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,4.8,4.6,5.0,5.0,4.6
179,Aa Gale Lag Jaa,1973.0,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,6.3,6.9,6.0,6.5,5.3
180,Aa Gale Lag Jaa,1994.0,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,5.1,5.1,5.4,4.7,5.0
